iter	MAE	RMSE
2110	0.3670010729	0.51613321
2111	0.3669623824	0.5160889165
2112	0.3668483067	0.5159531934
2113	0.366791332	0.5158782423
2114	0.3667045915	0.5157714389
2115	0.3666857753	0.5157559427
2116	0.3665760234	0.5156156307
2117	0.3664804539	0.5155152127
2118	0.3664375359	0.5154516485
2119	0.3664239107	0.5154306965
2120	0.3663728171	0.515374127
2121	0.3663137127	0.515304972
2122	0.3662437272	0.5152265986
2123	0.3660706724	0.5150367805
2124	0.3659575846	0.5149123721
2125	0.3658667322	0.5148198941
2126	0.3658154686	0.5147645819
2127	0.3658092484	0.5147571239
2128	0.3657809458	0.5147286234
2129	0.3657469091	0.5146856458
2130	0.3657103945	0.5146487545
2131	0.365583153	0.5144842402
2132	0.3655103338	0.5143929171
2133	0.3654584578	0.5143217362
2134	0.3653678272	0.514212921
2135	0.3652941927	0.5141223113
2136	0.3652491352	0.5140822495
2137	0.3651944814	0.5140317796
2138	0.3651458744	0.5139757071
2139	0.3650967978	0.5139154296
2140	0.3650493717	0.5138606778
2141	0.3650336896	0.5138440265
2142	0.3649671167	0.5137718981
2143	0.3649298408	0.5137346058
2144	0.3649140872	0.5137193908
2145	0.3648638624	0.5136654577
2146	0.3648453079	0.5136401601
2147	0.3647899189	0.5135837794
2148	0.3647529374	0.513543725
2149	0.3646737633	0.513452174
2150	0.3645815383	0.5133374506
2151	0.364561829	0.5133137417
2152	0.364513322	0.513263357
2153	0.3644755623	0.5132168512
2154	0.3643759862	0.5131079295
2155	0.3642779132	0.5129801196
2156	0.364142315	0.5128294094
2157	0.3640859343	0.5127637673
2158	0.3640227507	0.5126948901
2159	0.363948512	0.5126220152
2160	0.3638723924	0.5125359847
2161	0.3638182456	0.5124725508
2162	0.3637646453	0.5124127106
2163	0.3637079386	0.5123573851
2164	0.3636573376	0.5123052647
2165	0.3636325087	0.5122794239
2166	0.3635535736	0.5121977004
2167	0.3634926442	0.5121426225
2168	0.3634491391	0.5120920856
2169	0.3633901356	0.5120239529
2170	0.3633148331	0.5119501526
2171	0.3632803893	0.5119091482
2172	0.3632102576	0.5118181022
2173	0.3631854623	0.5117907782
2174	0.3631538185	0.5117595078
2175	0.3631160452	0.5117110043
2176	0.3630796887	0.5116714986
2177	0.3630382454	0.511626337
2178	0.3629766566	0.5115593212
2179	0.3629500665	0.5115302917
2180	0.362931181	0.5115097712
2181	0.3628767481	0.5114412143
2182	0.3628387218	0.5113938324
2183	0.3627353559	0.5112773136
2184	0.3626113304	0.5111448537
2185	0.3625468204	0.511073456
2186	0.3625318748	0.5110574458
2187	0.3624230591	0.5109334304
2188	0.3623436952	0.5108379002
2189	0.3623047461	0.510785595
2190	0.3622370079	0.5107163131
2191	0.3621525102	0.5106263677
2192	0.3621123924	0.5105833747
2193	0.3620690355	0.5105473053
2194	0.3620390461	0.5105119425
2195	0.3619925571	0.5104663296
2196	0.361889629	0.5103437962
2197	0.3618683901	0.5103190423
2198	0.3618232594	0.5102656418
2199	0.3617378139	0.5101764046
2200	0.3617175192	0.5101522435
2201	0.3616901931	0.5101198985
2202	0.3616668732	0.5100948714
2203	0.3615334968	0.5098979073
2204	0.3615158493	0.5098744247
2205	0.3614198683	0.5097698155
2206	0.3613854774	0.5097323635
2207	0.3613507068	0.5096975641
2208	0.3613206807	0.5096598625
2209	0.3612991869	0.5096351924
2210	0.3612464605	0.509577273
2211	0.3611861004	0.5095154573
2212	0.3611558216	0.5094804938
2213	0.3611241096	0.5094392046
2214	0.3610690467	0.5093780758
2215	0.3610261153	0.5093359956
2216	0.3609493591	0.5092322785
2217	0.3609134806	0.5091865061
2218	0.3608293715	0.5091031963
2219	0.3607848341	0.5090479342
2220	0.3607175262	0.5089809162
2221	0.3606483579	0.5089005915
2222	0.3605900601	0.5088368492
2223	0.3605187294	0.5087484131
2224	0.360472215	0.5086991698
2225	0.3604271452	0.5086507322
2226	0.3603597621	0.5085753048
2227	0.3603024354	0.5085081165
2228	0.3602875348	0.5084922106
2229	0.3602474097	0.5084496635
2230	0.3602064187	0.508406067
2231	0.3601660824	0.5083536287
2232	0.3601395206	0.5083243936
2233	0.3600924768	0.5082707968
2234	0.3600561704	0.5082334875
2235	0.3600366764	0.5082127179
2236	0.3599722165	0.5081329127
2237	0.3599647849	0.5081249668
2238	0.3599375031	0.5080950735
2239	0.3598659166	0.50801002
2240	0.3597817503	0.5079144579
2241	0.3597438268	0.5078641344
2242	0.3597146835	0.5078355948
2243	0.3596602435	0.5077756793
2244	0.3596098415	0.5077110005
2245	0.3595820709	0.5076828589
2246	0.3595181445	0.5076169895
2247	0.3594676686	0.5075601869
2248	0.3593925127	0.5074585008
2249	0.3593321047	0.5073917154
2250	0.3592722176	0.5073183216
2251	0.3592391978	0.5072799154
2252	0.3591932827	0.5072295649
2253	0.3591579411	0.5071897485
2254	0.3590459067	0.5070434146
2255	0.359013126	0.5069979542
2256	0.3589978035	0.5069844685
2257	0.358927924	0.5069025779
2258	0.358897645	0.5068718608
2259	0.3588633052	0.506835711
2260	0.3588113417	0.5067733702
2261	0.3587791741	0.5067381479
2262	0.3587676721	0.5067259834
2263	0.3586803776	0.5066131386
2264	0.3586255117	0.5065499961
2265	0.3585410409	0.5064358519
2266	0.3584798622	0.5063701898
2267	0.3584611475	0.5063432421
2268	0.3583679965	0.5062283082
2269	0.3583436984	0.5062001904
2270	0.3582995792	0.5061554309
2271	0.3582449886	0.5060914869
2272	0.3581997411	0.5060388898
2273	0.3581774282	0.5060117448
2274	0.3581553358	0.5059864545
2275	0.3580868459	0.5059184047
2276	0.3580424056	0.5058717534
2277	0.3580152422	0.5058465184
2278	0.3579760596	0.5058047821
2279	0.3579263396	0.5057502538
2280	0.3578987117	0.5057195676
2281	0.3578475902	0.5056539149
2282	0.3578263592	0.5056270232
2283	0.3577935305	0.5055845106
2284	0.3577593842	0.5055430973
2285	0.3577122246	0.5054832248
2286	0.3577012263	0.5054730413
2287	0.3576742528	0.5054416935
2288	0.3576268394	0.5053819284
2289	0.3575921297	0.5053398803
2290	0.3574881228	0.5051965103
2291	0.3574615571	0.5051641404
2292	0.3574144699	0.5051165295
2293	0.3573253165	0.5050255225
2294	0.3572779214	0.5049721406
2295	0.3572084212	0.5048887243
2296	0.3571806343	0.5048600808
2297	0.3571360408	0.5048085373
2298	0.3571134316	0.5047867198
2299	0.3570307282	0.5046833199
2300	0.3569464645	0.5045801391
2301	0.3569103269	0.5045445423
2302	0.3568281717	0.5044510436
2303	0.3568039784	0.5044274645
2304	0.3567732289	0.5043922985
2305	0.3567352464	0.5043458062
2306	0.3567068957	0.5043111505
2307	0.3566747179	0.5042799211
2308	0.3565894623	0.5041841436
2309	0.3565444994	0.5041301496
2310	0.3564600341	0.5040384862
2311	0.3563474309	0.5038861674
2312	0.3563299179	0.5038641087
2313	0.3563155415	0.5038518762
2314	0.3562943859	0.5038242786
2315	0.3562499124	0.5037757782
2316	0.3562225035	0.5037436957
2317	0.3561740211	0.5036922772
2318	0.3561246501	0.5036367916
2319	0.3560970479	0.5036055352
2320	0.3560143745	0.5035079082
2321	0.355978387	0.5034629924
2322	0.3559374839	0.5034151002
2323	0.3558600274	0.5033139917
2324	0.3558405067	0.503282065
2325	0.3558026846	0.5032397881
2326	0.3557391162	0.5031533396
2327	0.3556823431	0.5030910795
2328	0.3556494246	0.5030495863
2329	0.3556065447	0.5030005068
2330	0.3555594359	0.5029585745
2331	0.3555347028	0.5029315192
2332	0.3554607646	0.5028427821
2333	0.3553576386	0.502712799
2334	0.3553101349	0.5026631529
2335	0.3552782567	0.5026226541
2336	0.3551435607	0.5024502518
2337	0.3550651287	0.5023611054
2338	0.3550371848	0.5023351148
2339	0.3549733447	0.5022551532
2340	0.3549034345	0.5021665122
2341	0.3548520381	0.5021131929
2342	0.3547983164	0.5020474859
2343	0.3547616692	0.5020084288
2344	0.3547237378	0.5019653125
2345	0.3546627709	0.5019029386
2346	0.3545624298	0.5017870449
2347	0.3544523779	0.5016554108
2348	0.3544122339	0.5016077903
2349	0.354371739	0.5015595156
2350	0.3543228732	0.501498686
2351	0.3542701099	0.5014346598
2352	0.3542431463	0.5014030084
2353	0.3541811127	0.5013300976
2354	0.3540771216	0.5012240745
2355	0.3539865051	0.5011212875
2356	0.3539242425	0.5010482147
2357	0.3539015794	0.5010183244
2358	0.3538165668	0.5009235369
2359	0.3537901145	0.5008900308
2360	0.3537314263	0.5008231762
2361	0.353708817	0.5007955327
2362	0.3536777255	0.5007647308
2363	0.35366689	0.5007536572
2364	0.3536461206	0.5007254611
2365	0.3536162001	0.5006955331
2366	0.3535785028	0.5006417849
2367	0.3535327367	0.5005833566
